TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,ContractAddress,Type,Value,Fee,Status,ErrCode,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice
0xb2231ffc5bffc3386bf8287d0313292e9cfb943bc63ae014085d2e4c1951af40,6299283,2024-04-10 16:22:29.000000Z,0x1F27b0482ace1B82cf7A4f0c55dfc2A05dfCfD75,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1176525956360,ok,,3843.486211,3505.137342,3505.137342
0x4ca0b497e6efeec0862c6599ceefb1c51ab956caa104f71687fae82adf060f5f,6299278,2024-04-10 16:22:19.000000Z,0x136D747A16E67c93d3c5D9a340EC00FcD81E027b,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1133077729084,ok,,3843.486211,3505.137342,3505.137342
0x19f0c9b06f7855b2a3f52de80f12dbcd6d929e0d8b79b4ecefb0da7caaedb8aa,6299274,2024-04-10 16:22:11.000000Z,0x607f7B671Fe96d84424dbab6118A991F0A301A78,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1045060013851,ok,,3843.486211,3505.137342,3505.137342
0x988c5868e01855a6cae638b071fab1d405fe9c3cd0edb79ce631a0ff277369e2,6299270,2024-04-10 16:22:03.000000Z,0x27079288008A8FdEE8462e3A1afD827D6fB9aD42,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,994590135317,ok,,3843.486211,3505.137342,3505.137342
0x97d73bfab2a544db8cea6a7cfb35a58a21e72dd66d98a47145cc2b2e0ed3a53e,6299266,2024-04-10 16:21:55.000000Z,0x69a77a19751919D49d24C75fe39A43B06e0Cc436,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1097451954139,ok,,3843.486211,3505.137342,3505.137342
0xf3674291e5364b5858406d285cb21de363f51c556833eeeaa7f59f5c6c3f6cd2,6299263,2024-04-10 16:21:49.000000Z,0x23e252d0db95d11e19cbc0d388D76992138bc341,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1004996683122,ok,,3843.486211,3505.137342,3505.137342
0xa43607d70151d92ef8f43878a557a535372cb43c508051f49a9ea1aece3f0395,6299263,2024-04-10 16:21:49.000000Z,0x4310FceD738Ac2D50c199A3c2fF5ea1CA2735b86,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1004515387122,ok,,3843.486211,3505.137342,3505.137342
0x224fd0a98f4aa7b47e2a8ada85ee6def752a4b39f735dd803cc2f3239fc88f35,6299261,2024-04-10 16:21:45.000000Z,0xE80331D9fEe2eFa37B0a13A0E13CCF659C88B54D,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1061802453265,ok,,3843.486211,3505.137342,3505.137342
0xc73b14981871e5ca6b1fc3a56ef832a0616da9f955a843708fe40a764b28f449,6299257,2024-04-10 16:21:37.000000Z,0x2c478E041fa765B79B0dc90d620dF7c219d7c428,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1054736653265,ok,,3843.486211,3505.137342,3505.137342
0xba784c6dc38b768938f848f1bd3c4e2aeac2b4e399ee57f797bf99d2e8a9874d,6299249,2024-04-10 16:21:21.000000Z,0x8B8d00021950F358B94080bdE2Fb7Aefd1ff0b42,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,929239241034,ok,,3843.486211,3505.137342,3505.137342
0x33f71f1fd3d6df050a63a376796844c1956245b1b17c78734a313525a433948e,6299249,2024-04-10 16:21:21.000000Z,0xdfe7A77fc692836B25f970340190BbE79bd521F7,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1018839207263,ok,,3843.486211,3505.137342,3505.137342
0xc7db5e529721dad230ef266a17cedac6337e01790f178e68830502c00f36f8c8,6299247,2024-04-10 16:21:17.000000Z,0x20a5BdE5D82E9D9D7Fa366D3e3c6BCb0e0849547,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,885920119815,ok,,3843.486211,3505.137342,3505.137342
0x27a05d4d5f9f7c58ccc2ac02313790fdf8351c0fa0438009ea9a7a190cb6afb7,6299245,2024-04-10 16:21:13.000000Z,0x81Ba93B26bCe8cA5d649B6607DF15E6D45462D8F,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,930086631255,ok,,3843.486211,3505.137342,3505.137342
0xe0e2c996bff2466e11032922fc6a01f8ba9155ef199e55926658063ad2e16301,6299239,2024-04-10 16:21:01.000000Z,0x43fB9CE7F567E86d2286f822decaB7c481eEd071,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,993954112698,ok,,3843.486211,3505.137342,3505.137342
0x021211b4b75e3bd1fc3dd3981e5a7b399022dbdb768a204db98586b6d86eb6ed,6299238,2024-04-10 16:20:59.000000Z,0x84b2a364BEAD59EF87ef87a4a06ad415a860Ae88,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,882532549457,ok,,3843.486211,3505.137342,3505.137342
0xa664038d669f5b3730992d823d935838cffb7cb37a544af0435330d12333d9cf,6299238,2024-04-10 16:20:59.000000Z,0x6034D8b5D4e73C50eE1435CE4F0474118e07B4B6,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,981128312698,ok,,3843.486211,3505.137342,3505.137342
0xff54e63829e12e091182f449b3538d50c185668be7c8e6aba6021cd879e4a4d7,6299235,2024-04-10 16:20:53.000000Z,0x1dF24622941C97840BA53e2b165d4BCd0d86464A,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,983051987446,ok,,3843.486211,3505.137342,3505.137342
0x169e46fbd10f7225864b0416619743285d04c78349e291dcfc88afc496aab60d,6299235,2024-04-10 16:20:53.000000Z,0x0AB189843bAa049C6FcBD6bcff90C881B4b63470,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,982204664833,ok,,3843.486211,3505.137342,3505.137342
0x34fef17b4767d0a676b3b98ea990006468ebf5cc9142f92ad4ae9e9a12a04346,6299234,2024-04-10 16:20:51.000000Z,0xb956Ee484561F8B0a1E8f6dab029E6867f61d5C0,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1076700305835,ok,,3843.486211,3505.137342,3505.137342
0x1f16d420c9698bbdfbb5c04b624553ca3278c8afc9860058ca5a37b13792df4c,6299230,2024-04-10 16:20:43.000000Z,0x257FEfaD2246a2d7438797f2e347C0f69c8DF1d5,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1082665675805,ok,,3843.486211,3505.137342,3505.137342
0x3953587815822b626ebede42a66cb39d9075554bc6c6cedef2f0667ad954390e,6299224,2024-04-10 16:20:31.000000Z,0xDb878be83129958d808752e91e0E6B5317BbcC9d,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,992885713263,ok,,3843.486211,3505.137342,3505.137342
0x8d2ffa289bd2a956c044adc8e47f967937cffa2a0860652cf540879096630dc6,6299221,2024-04-10 16:20:25.000000Z,0xfcd1DCdD73eFE1Fde188F793DbB428600EF31509,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,992885713263,ok,,3843.486211,3505.137342,3505.137342
0xc1176cd0557c99f2f13123dccdcaf13394d7af791aaa1741810fb9966b2a8c49,6299216,2024-04-10 16:20:15.000000Z,0x9c8A57a6D9d42EFcBD560D5771a07a4227572d74,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,961424617208,ok,,3843.486211,3505.137342,3505.137342
0xf703d9cd3980b05eb72dfdbd01d0867f1ed495fffd6e3925f852b94cccfd738e,6299215,2024-04-10 16:20:13.000000Z,0xa0506430b69259b69018CB2070792B76bB410e8C,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1067224527150,ok,,3843.486211,3505.137342,3505.137342
0xef483fcf4fd40564798d6075a3363015ea2cb29a69378b86c89e868b80facc69,6299212,2024-04-10 16:20:07.000000Z,0xdd53cFa385792d1bf0730330Ed0aE8C20D161BC4,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,953665421757,ok,,3843.486211,3505.137342,3505.137342
0x7bda52bda83b339d883bd4eb2614691c00c8bb45919a99af1999c9b1fc668da1,6299207,2024-04-10 16:19:57.000000Z,0xA050D9b431FC35f94e8f6d06F71DF936A48A53a6,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1011371842031,ok,,3843.486211,3505.137342,3505.137342
0x90ed5ba72c8446327e295d03b0d1e6641d026855da366a244bc9270434f798a0,6299202,2024-04-10 16:19:47.000000Z,0xfEd7F4848ECd9A09f591B213cB97e70b523b7112,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1010524510967,ok,,3843.486211,3505.137342,3505.137342
0x8fb2e79322a8fcd0c2acc2c2fd24035c81ae2201df7dc9332735e7cd57390865,6299200,2024-04-10 16:19:43.000000Z,0x4ce560004f6deEBc0c777763F0B0Ae7738A59e4e,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1063542330229,ok,,3843.486211,3505.137342,3505.137342
0x3d483eae6f7550d27e21089606a91d557dfc9a135d4ca155ca86a67213dee2e4,6299199,2024-04-10 16:19:41.000000Z,0x6c25f329480A5113C8461723F5E2f0883805a267,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,963076387770,ok,,3843.486211,3505.137342,3505.137342
0xb730c001eb4d4ca913771e0f527503bb048e2a2a89f012fc239eb8e9121808ed,6299199,2024-04-10 16:19:41.000000Z,0x19BA208E293fA705f7592B3F31fb5D4f8b4f7Fd0,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1063542330229,ok,,3843.486211,3505.137342,3505.137342
0xf53e107e6019d18b6e3c5e111f8800a3bc0436e83f1604c2dd255f408a0d0ca2,6299198,2024-04-10 16:19:39.000000Z,0x5A2c9E5589Cb04743a4f947721833e9816a2c84c,0x68e6c417b6607eA0b406168Cb625299C75b223e8,,IN,0,1057782330229,ok,,3843.486211,3505.137342,3505.137342
