user,total_amount,liquid_amount,vested_amount,tx
0x2d876806411a36407350a626bf42d62c82b7d005,30570000000000000000000,4891000000000000000000,25679000000000000000000,0xe3551196de351779577345294cde76efbe488026111e14fea97c0545b0a36ed4
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,22393000000000000000000,3582000000000000000000,18811000000000000000000,0xaffcdab4276185571f662f571527919787c77c800a329cc5bcefdd32224e366a
0x96e2ec12574eff99385079c95407563626cf9713,24109000000000000000000,3857000000000000000000,20252000000000000000000,0xc1ef9fec535c28d42e2ba4f27876a5bc9295b718f8dbbffaeec02b9bf56ebf5b
0x4bf107d6d2b0b15f3f78f35600932df48509da2f,24490000000000000000000,3918000000000000000000,20572000000000000000000,0x03f6f623318d50b2a0c30d7e401c880fea58157be37ecdf7020f93c6832fb9cb
0x1003977a308a40c076637f5b7a45db5c75db3782,25271000000000000000000,4043000000000000000000,21228000000000000000000,0x1d8d27e593edb59e6fcf3e09647982787e2e9a48d6014f78b49092daa3ba5606
0x142063f9ff8c585ff172f71f2ce30398969674aa,16611000000000000000000,2657000000000000000000,13954000000000000000000,0x46f0fd15f3bec3b24bc08b8a4c009f7507362929fff1634e315175f1edea5b05
0xa8690dfb2fd8c3cee0dcf08443df05296768f949,13014000000000000000000,2082000000000000000000,10932000000000000000000,0xedcebb88a5c589782f69a1b9519e96e2f05e8cb753cbd717425f340a19af3157
0xe9b2fc5f89ca0f6f88122feb3f88f5308b86c7a0,14005000000000000000000,2240000000000000000000,11765000000000000000000,0xee707f38992c0167090afe39c77af0b019db77813b3b05c851d0e7e079287db0
0x7552ab18f8de66a51801d040b98afb0db5e38141,10089000000000000000000,1614000000000000000000,8475000000000000000000,0x63a3a906e99687329dedfecec8a3795f786480c9009c3ca6e8c8da0a466f3e74
0xd5f4cbfadb349be5dba580f9360eb6867a1d590e,9531000000000000000000,1524000000000000000000,8007000000000000000000,0x4f0919e30492ba913fdfed4f34e11f4a9a6c8d3f7ca17123e3bf4653e3ee2602
0x285fed35cbea271a711681e84ffd83c68a596a75,9830000000000000000000,1572000000000000000000,8258000000000000000000,0x588aa26ca3087fee9893eae7aa69ed976a6be54aa791124caf39a13973a3b42c
0xab07f7c93713d0864e7547c66d706b687b6300af,10613000000000000000000,1698000000000000000000,8915000000000000000000,0xf719322cda9cf4dbdc865292e74512a032b5f7b9761904593fc55dfa93879248
0x07a318a09bf29c336b808a2477f8ef6382a942be,10943000000000000000000,1750000000000000000000,9193000000000000000000,0xab7a5290e3ecf0cdc544f4b43b4e4a8663a3b1581a3c6cdc62f3476dd46dc88f
0x891a144965c72c50201bf06f851d3a25d1d07946,11428000000000000000000,1828000000000000000000,9600000000000000000000,0x5c15a098646a953cf4d697d1841dc9ab9f37d854d0b026e8acd7c1cdbb4b900e
0x16e74b3b60406949a0e98407300a1e6eee23acac,8261000000000000000000,1321000000000000000000,6940000000000000000000,0x170de27f36991028e6720bc87df94b1af463a5803f31f06056d3f96a6bcab56d
0xe682d016d72ceaf06241058ba1b793fc39c72564,9068000000000000000000,1450000000000000000000,7618000000000000000000,0x0eb1ab08bcfabb93a05d825fd8867cd2a4e0ba6b821157f2bf875f7322bfc54a
0x54df9eedd4bca708c98a4b2f35e979af9452cfcc,7738000000000000000000,1238000000000000000000,6500000000000000000000,0x563b7fd2df50bf2af0a5b37abed3364faac60b03ebd6fb0350615d63c2b94d37
0xc39f52b4075c82bd69742909505a352af54f5e5b,7173000000000000000000,1147000000000000000000,6026000000000000000000,0x02bba81e08833657bde367cc6237fa89ae67128e2a588ede867e531c9ac0a77a
0xa3a772d1e714be8c52d0b8929952728a93666ccd,6978000000000000000000,1116000000000000000000,5862000000000000000000,0xb309bd2de748106072d66ae2edf667e95a5bfa42a1ce78bb712a9b049d7f2c69
0x308fd47d492cf32d0f504c2a3e82bc25583b455b,7484000000000000000000,1197000000000000000000,6287000000000000000000,0x1378cd9dbc22660e03ef890b699f32d3dd166a5d72bbabcffd8db74338687e95
0xee4434d02edfd727843a507c1d3714560a8660e4,5985000000000000000000,957000000000000000000,5028000000000000000000,0x1bb8cc7f03e3bee90c5957dbf6e78e6f36647bcf8cf88facb6e3d8013602e32c
0xbacb1b5aa23d701e812c08f45ba09d6e6c17631e,6371000000000000000000,1019000000000000000000,5352000000000000000000,0xd7fc2f80061d2580b2e19c36415525a38da0cae20cc28f59bdfb732ccb0e7b7d
0x8577f829a70668eb40a98c6ce80e682dda27b6e2,6175000000000000000000,988000000000000000000,5187000000000000000000,0x250045502cefabb033b3bcb23dc663cc8c848f81f5e27f9c483ab22eef915d1b
0xa9f688a30814f55810504ebb51d886f2cd9144ef,6173000000000000000000,987000000000000000000,5186000000000000000000,0x28f229d2488ecb8dcc45b6986b31cff8dc0e75c07c18336bbba6c981dee54f79
0x0bee06fba2660dd41fdb7b950f0592bbcd7f0fcc,6463000000000000000000,1034000000000000000000,5429000000000000000000,0xb8fb0db540fd679cd68e1685690fcbd6b1359ceed214bfdff2413dbff56593ad
0x29885b9fa1f20dd18c88fda5d6682339379b916d,6477000000000000000000,1036000000000000000000,5441000000000000000000,0x4a387b8ef155f1cee3934b2fa793ed1d33a0b2f485e87652bff1f3f6d563c015
0x691743ddfe003f6a0c131f3dcd165d53e7122be6,5583000000000000000000,893000000000000000000,4690000000000000000000,0x6738d16511fcf7eabb0752f79a4d692d713409b1b0079b521f1822b671c308b9
0x9621d12d63be2b9fbfb1fb03f623e3d9b52e9df9,5293000000000000000000,846000000000000000000,4447000000000000000000,0x4ee740652838d34147f93700cf35f8c8cd05280bf447fc5290aa23495a0695e9
